Unidades de saúde;Data;Quantidade de leitos UTI Adulto COVID;Disponíveis/Vagos UTI Adulto COVID;Ocupados UTI Adulto COVID;Bloqueados UTI Adulto COVID;Ocupação(%) de leitos UTI Adulto COVID;Quantidade de leitos UTI Adulto Não COVID;Disponíveis/Vagos UTI Adulto Não COVID;Ocupados UTI Adulto Não COVID;Bloqueados UTI Adulto Não COVID;Ocupação(%) de leitos UTI Adulto Não COVID
ANÁPOLIS/HEANA;25/05/2020;15;0;5;10;100,0;20;2;16;2;90,0
ANÁPOLIS/HEANA;26/05/2020;15;0;4;11;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;27/05/2020;15;2;2;11;86,67;20;0;18;2;100,0
ANÁPOLIS/HEANA;28/05/2020;15;0;4;11;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;29/05/2020;15;0;5;10;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;30/05/2020;15;0;6;9;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;31/05/2020;15;1;5;9;93,33;20;0;18;2;100,0
ANÁPOLIS/HEANA;01/06/2020;15;0;6;9;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;02/06/2020;15;0;6;9;100,0;20;1;17;2;95,0
ANÁPOLIS/HEANA;03/06/2020;15;0;7;8;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;04/06/2020;15;1;6;8;93,33;20;0;18;2;100,0
ANÁPOLIS/HEANA;05/06/2020;15;1;8;6;93,33;20;0;18;2;100,0
ANÁPOLIS/HEANA;06/06/2020;15;1;9;5;93,33;20;1;17;2;95,0
ANÁPOLIS/HEANA;07/06/2020;15;1;10;4;93,33;20;1;17;2;95,0
ANÁPOLIS/HEANA;08/06/2020;15;1;12;2;93,33;20;2;16;2;90,0
ANÁPOLIS/HEANA;09/06/2020;15;0;10;5;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;10/06/2020;15;4;11;0;73,33;20;1;17;2;95,0
ANÁPOLIS/HEANA;11/06/2020;15;1;10;4;93,33;20;2;16;2;90,0
ANÁPOLIS/HEANA;12/06/2020;15;5;10;0;66,67;20;1;17;2;95,0
ANÁPOLIS/HEANA;13/06/2020;15;4;11;0;73,33;20;1;17;2;95,0
ANÁPOLIS/HEANA;14/06/2020;15;3;12;0;80,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;15/06/2020;15;3;12;0;80,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;16/06/2020;15;2;13;0;86,67;20;1;17;2;95,0
ANÁPOLIS/HEANA;17/06/2020;15;4;11;0;73,33;20;0;18;2;100,0
ANÁPOLIS/HEANA;18/06/2020;15;3;12;0;80,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;19/06/2020;15;1;14;0;93,33;20;0;18;2;100,0
